date,day_of_week,impressions,engagements,source_export_date
2026-08-11,Tuesday,71,1,2026-08-17
2026-08-12,Wednesday,76,4,2026-08-17
2026-08-13,Thursday,37,1,2026-08-17
2026-08-14,Friday,72,5,2026-08-17
2026-08-15,Saturday,44,2,2026-08-17
2026-08-16,Sunday,18,0,2026-08-17
2026-08-17,Monday,81,4,2026-08-21
2026-08-18,Tuesday,44,0,2026-08-21
2026-08-19,Wednesday,60,2,2026-08-21
2026-08-20,Thursday,38,5,2026-08-21
2026-08-21,Friday,35,1,2026-08-21
2026-08-22,Saturday,27,1,2026-08-28
2026-08-23,Sunday,31,0,2026-08-28
2026-08-24,Monday,38,0,2026-08-28
2026-08-25,Tuesday,19,0,2026-08-28
2026-08-26,Wednesday,83,4,2026-08-28
2026-08-27,Thursday,29,1,2026-08-28
2026-08-28,Friday,58,2,2026-08-28
