id,title,link,primary_topic,secondary_topic,confidence
11114,How to Accelerate Business Growth When the Economy Feels Uncertain,https://www.synnovatia.com/accelerate-business-growth-uncertain-times/,Growth & Scaling,Strategy & Planning,high
8512,What No One Tells An Entrepreneur About Breaking Through a Business Plateau,https://www.synnovatia.com/entrepreneur-breaking-through-a-business-plateau/,Growth & Scaling,Ownership & Entrepreneurship,high
3284,Nine Steps to Building Trust Online & Offline for Your Small Business,https://www.synnovatia.com/business-coaching-bid-72474-nine-steps-to-building-trust-online-offline-for-your-small-business/,Sales & Marketing,,high
3309,Are You a Master Strategist? Test Your Strategic Skills with This Quiz,https://www.synnovatia.com/business-coaching-got-strategic-skills/,Strategy & Planning,,high
10402,Navigating the Distinct Challenges of Women in Business,https://www.synnovatia.com/navigating-the-distinct-challenges-women-in-business/,Ownership & Entrepreneurship,People & Partnerships,medium
3308,Unlock Business Growth Through Annual Strategic Planning,https://www.synnovatia.com/business-coaching-year-end-assessment-annual-business-planning/,Strategy & Planning,Growth & Scaling,high
3532,How Strategic Thinking Shapes Small Business Success…And Saves Money,https://www.synnovatia.com/business-coaching-bid-182599-how-strategic-thinking-shapes-small-business-success-and-saves-money/,Strategy & Planning,,high
3764,Strategic Alliances: The Catalyst for Business Growth,https://www.synnovatia.com/business-coaching-bid-105758-strategic-alliances-the-future-of-small-business-growth/,People & Partnerships,Growth & Scaling,high
3603,Strategic Business Growth: Putting “Social” Back in Social Media,https://www.synnovatia.com/business-coaching-bid-156159-small-business-owners-it-s-time-to-put-social-back-in-social-media/,Sales & Marketing,,high
3294,The Value of Community for Emerging and Growing Entrepreneurs,https://www.synnovatia.com/business-coaching-the-value-of-community-for-emerging-and-growing-entrepreneurs/,People & Partnerships,Ownership & Entrepreneurship,medium
3787,Eliminate Energy Drains for Better Business Growth,https://www.synnovatia.com/business-coaching-bid-72420-say-goodbye-to-things-that-bug-you/,Mindset & Resilience,Growth & Scaling,medium
3346,The Future of Business Growth and Client Engagement Lies in Mobile Mastery,https://www.synnovatia.com/business-coaching-how-to-boost-your-small-business-consumer-engagement-with-mobile-trends/,Sales & Marketing,,high
9890,"Can You Grow Your Business in an Uncertain Economy? Yes, with a Business Growth Strategist!",https://www.synnovatia.com/can-you-grow-your-business-in-an-uncertain-economy-yes-with-a-business-growth-strategist/,Growth & Scaling,,high
3442,Entrepreneur Recharge: Combat Fatigue & Drive Business Growth,https://www.synnovatia.com/business-coaching-fatigue-the-worst-possible-growth-strategy-for-your-small-business/,Mindset & Resilience,Growth & Scaling,high
9332,How to Grow Your Business with Precision and Priority,https://www.synnovatia.com/how-to-grow-your-business-with-precision-and-priority/,Growth & Scaling,Strategy & Planning,high
9307,Entrepreneurs: Balancing  Uncertainty and Complexity,https://www.synnovatia.com/entrepreneurs-balancing-uncertainty-and-complexity/,Mindset & Resilience,Growth & Scaling,high
9284,Accountability for Entrepreneurs: From Chaos to Clarity,https://www.synnovatia.com/accountability-for-entrepreneurs-from-chaos-to-clarity/,Mindset & Resilience,Ownership & Entrepreneurship,medium
9263,Essential Skills Entrepreneurs Need to Know to Grow & Scale,https://www.synnovatia.com/essential-skills-entrepreneurs-need-to-know-to-grow-scale/,Growth & Scaling,,high
