id,title,link,primary_topic,secondary_topic,confidence
7538,Is It Just Me? Or Does Business Sometimes Feel Like an MLM (Opinion),https://www.synnovatia.com/is-it-just-me-or-does-business-sometimes-feel-like-an-mlm-opinion/,Ownership & Entrepreneurship,,low
3356,Business Skills You Can Learn From Playing Hay Day,https://www.synnovatia.com/business-coaching-business-skills-you-can-learn-from-playing-hay-day/,Mindset & Resilience,Growth & Scaling,low
3367,The Most-Loved Downloads For Small Business Owners in 2015,https://www.synnovatia.com/business-coaching-the-most-loved-downloads-for-small-business-owners-in-2015/,Strategy & Planning,,low
3368,Reading List Reveals The Small Business Owners Interest in 2015,https://www.synnovatia.com/business-coaching-actions-small-business-owner-in-2015/,Strategy & Planning,,low
3385,How My 10 Year-Old Nephew Became My Business Coach,https://www.synnovatia.com/business-coaching-how-my-10-year-old-nephew-became-my-business-coach/,Ownership & Entrepreneurship,Mindset & Resilience,low
3412,A 2-Minute Guide to the ObamaCare Supreme Court Ruling,https://www.synnovatia.com/business-coaching-a-2-minute-guide-to-the-obamacare-supreme-court-ruling/,People & Partnerships,,low
3434,It’s Easy Being Green…,https://www.synnovatia.com/business-coaching-its-easy-being-green/,Ownership & Entrepreneurship,,low
3440,Let’s Celebrate Women Who Influence Our Small Business Achievements,https://www.synnovatia.com/business-coaching-celebrate-women-who-influence-small-business-achievements/,Ownership & Entrepreneurship,,low
3454,“Innie” or “Outie”: Why Knowing Matters To Your Small Business,https://www.synnovatia.com/business-coaching-innie-or-outie-why-knowing-matters-to-your-small-business/,Ownership & Entrepreneurship,,low
3473,Tools to Stay on Top of the Latest Small Business Tips & Trends,https://www.synnovatia.com/business-coaching-tools-to-stay-on-top-of-the-latest-small-business-tips-trends/,Strategy & Planning,,low
3489,The Small Business Owners Top Ten Blog Posts for 2014,https://www.synnovatia.com/business-coaching-small-business-owners-top-blog-posts-2014/,Sales & Marketing,,low
3499,Small Business Lessons From the Switchbacks of Los Angeles,https://www.synnovatia.com/business-coaching-bid-185450-small-business-lessons-from-the-switchbacks-of-los-angeles/,Mindset & Resilience,,low
3518,How Being “Old School” Helps Your Small Business Succeed,https://www.synnovatia.com/business-coaching-bid-183307-how-being-old-school-helps-your-small-business-succeed/,Strategy & Planning,,low
3525,What’s Your Small Business “App”titude?,https://www.synnovatia.com/business-coaching-bid-182922-what-s-your-small-business-app-titude/,Strategy & Planning,,low
3544,7 Tips Small Business Owners Use to Avoid “Egg On Their Face”,https://www.synnovatia.com/business-coaching-bid-161976-7-tips-small-business-owners-use-to-avoid-egg-on-their-face/,Mindset & Resilience,,low
3546,What the Farmers Almanac Can Teach Small Business About High-Yield Returns,https://www.synnovatia.com/business-coaching-bid-160801-what-the-farmers-almanac-can-teach-small-business-about-high-yield-returns/,Strategy & Planning,,low
3575,“What in the Sam Hill are the Minuses & Equals Doing in Your Business?”,https://www.synnovatia.com/business-coaching-bid-157112-what-in-the-sam-hill-are-the-minuses-equals-doing-in-your-business/,Mindset & Resilience,Strategy & Planning,low
3582,Solving the Age-Old Chicken or Egg” Problem for Small Business Owners”,https://www.synnovatia.com/business-coaching-bid-156786-solving-the-age-old-chicken-or-egg-problem-for-small-business-owners/,Strategy & Planning,,low
