category_slug,old_category_link,wp_post_count,mapped_topic,topic_confidence,new_topic_link,all_topics_breakdown
human-resources,https://www.synnovatia.com/category/human-resources/,26,People & Partnerships,96%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""Strategy & Planning"": 1, ""People & Partnerships"": 25}"
business-growth,https://www.synnovatia.com/category/business-growth/,13,Growth & Scaling,38%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Growth & Scaling"": 5, ""Strategy & Planning"": 3, ""Mindset & Resilience"": 3, ""Ownership & Entrepreneurship"": 1, ""People & Partnerships"": 1}"
productivity-performance,https://www.synnovatia.com/category/productivity-performance/,7,Strategy & Planning,57%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 4, ""Mindset & Resilience"": 2, ""Growth & Scaling"": 1}"
business-skills,https://www.synnovatia.com/category/business-skills/,6,Growth & Scaling,33%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Growth & Scaling"": 2, ""Strategy & Planning"": 1, ""Mindset & Resilience"": 1, ""People & Partnerships"": 1, ""Ownership & Entrepreneurship"": 1}"
business-growth-small-business-strategy,https://www.synnovatia.com/category/business-growth-small-business-strategy/,6,Growth & Scaling,50%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Growth & Scaling"": 3, ""Sales & Marketing"": 1, ""Strategy & Planning"": 2}"
productivity,https://www.synnovatia.com/category/productivity/,6,Strategy & Planning,67%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 4, ""People & Partnerships"": 1, ""Mindset & Resilience"": 1}"
business-planning-business-growth,https://www.synnovatia.com/category/business-planning-business-growth/,5,Strategy & Planning,60%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 3, ""Growth & Scaling"": 1, ""Mindset & Resilience"": 1}"
work-life-balance-productivity-performance,https://www.synnovatia.com/category/work-life-balance-productivity-performance/,5,Mindset & Resilience,60%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 3, ""Strategy & Planning"": 2}"
business-success-goal-achievement-best-practices,https://www.synnovatia.com/category/business-success-goal-achievement-best-practices/,5,Strategy & Planning,60%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 3, ""Sales & Marketing"": 1, ""Mindset & Resilience"": 1}"
attitude,https://www.synnovatia.com/category/attitude/,5,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 5}"
small-business-growth,https://www.synnovatia.com/category/small-business-growth/,5,Growth & Scaling,60%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Ownership & Entrepreneurship"": 1, ""Strategy & Planning"": 1, ""Growth & Scaling"": 3}"
small-business-blogging,https://www.synnovatia.com/category/small-business-blogging/,5,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 5}"
finances,https://www.synnovatia.com/category/finances/,5,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 5}"
strategic-coaching,https://www.synnovatia.com/category/strategic-coaching/,5,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 5}"
uncategorized,https://www.synnovatia.com/category/uncategorized/,4,Mindset & Resilience,75%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Growth & Scaling"": 1, ""Mindset & Resilience"": 3}"
growth-strategies-best-practices,https://www.synnovatia.com/category/growth-strategies-best-practices/,4,Growth & Scaling,50%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""People & Partnerships"": 1, ""Growth & Scaling"": 2, ""Sales & Marketing"": 1}"
performance-motivation-attitude,https://www.synnovatia.com/category/performance-motivation-attitude/,4,People & Partnerships,50%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""People & Partnerships"": 2, ""Mindset & Resilience"": 2}"
small-business-growth-growth-strategies-small-business-success,https://www.synnovatia.com/category/small-business-growth-growth-strategies-small-business-success/,4,Growth & Scaling,75%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Growth & Scaling"": 3, ""Mindset & Resilience"": 1}"
business-coaching,https://www.synnovatia.com/category/business-coaching/,4,Ownership & Entrepreneurship,75%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 3, ""Mindset & Resilience"": 1}"
work-life-balance-performance,https://www.synnovatia.com/category/work-life-balance-performance/,4,Mindset & Resilience,75%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Strategy & Planning"": 1, ""Mindset & Resilience"": 3}"
inbound-marketing-small-business-blogging-content-marketing,https://www.synnovatia.com/category/inbound-marketing-small-business-blogging-content-marketing/,4,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 4}"
productivity-time-management-performance,https://www.synnovatia.com/category/productivity-time-management-performance/,4,Strategy & Planning,75%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 3, ""Mindset & Resilience"": 1}"
growth-strategies-best-practices-business-planning,https://www.synnovatia.com/category/growth-strategies-best-practices-business-planning/,4,Mindset & Resilience,50%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 2, ""People & Partnerships"": 1, ""Growth & Scaling"": 1}"
strategic-thinking,https://www.synnovatia.com/category/strategic-thinking/,3,Strategy & Planning,67%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 2, ""Mindset & Resilience"": 1}"
best-practices,https://www.synnovatia.com/category/best-practices/,3,Ownership & Entrepreneurship,67%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Strategy & Planning"": 1, ""Ownership & Entrepreneurship"": 2}"
entrepreneurship,https://www.synnovatia.com/category/entrepreneurship/,3,Growth & Scaling,67%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Strategy & Planning"": 1, ""Growth & Scaling"": 2}"
best-practices-business-growth-entrepreneurship,https://www.synnovatia.com/category/best-practices-business-growth-entrepreneurship/,3,Growth & Scaling,67%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""People & Partnerships"": 1, ""Growth & Scaling"": 2}"
business-growth-success-psychology,https://www.synnovatia.com/category/business-growth-success-psychology/,3,Mindset & Resilience,67%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 2, ""Ownership & Entrepreneurship"": 1}"
small-business-growth-business-coaching,https://www.synnovatia.com/category/small-business-growth-business-coaching/,3,Growth & Scaling,33%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Growth & Scaling"": 1, ""Mindset & Resilience"": 1, ""Ownership & Entrepreneurship"": 1}"
productivity-best-practices-performance,https://www.synnovatia.com/category/productivity-best-practices-performance/,3,Ownership & Entrepreneurship,33%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1, ""Mindset & Resilience"": 1, ""Strategy & Planning"": 1}"
strategic-coaching-business-coaching,https://www.synnovatia.com/category/strategic-coaching-business-coaching/,3,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 3}"
performance,https://www.synnovatia.com/category/performance/,3,Ownership & Entrepreneurship,67%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 2, ""Mindset & Resilience"": 1}"
small-business-success-best-practices-entrepreneurship,https://www.synnovatia.com/category/small-business-success-best-practices-entrepreneurship/,3,Strategy & Planning,67%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 2, ""Mindset & Resilience"": 1}"
small-business-growth-best-practices,https://www.synnovatia.com/category/small-business-growth-best-practices/,3,Growth & Scaling,100%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Growth & Scaling"": 3}"
performance-motivation,https://www.synnovatia.com/category/performance-motivation/,3,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 3}"
growth-strategies-best-practices-strategic-coaching,https://www.synnovatia.com/category/growth-strategies-best-practices-strategic-coaching/,3,Strategy & Planning,33%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1, ""Growth & Scaling"": 1, ""Ownership & Entrepreneurship"": 1}"
