category_slug,old_category_link,wp_post_count,algorithmic_top_topic,vote_breakdown,resolved_topic,resolved_topic_link,resolution_method
business-growth,https://www.synnovatia.com/category/business-growth/,13,Growth & Scaling,"{""Growth & Scaling"": 5, ""Strategy & Planning"": 3, ""Mindset & Resilience"": 3, ""Ownership & Entrepreneurship"": 1, ""People & Partnerships"": 1}",Growth & Scaling,https://synnovatiacom.stage.site/topic/growth-scaling/,slug-wording tie-break
productivity-performance,https://www.synnovatia.com/category/productivity-performance/,7,Strategy & Planning,"{""Strategy & Planning"": 4, ""Mindset & Resilience"": 2, ""Growth & Scaling"": 1}",Strategy & Planning,https://synnovatiacom.stage.site/topic/strategy-planning/,slug-wording tie-break
business-skills,https://www.synnovatia.com/category/business-skills/,6,Growth & Scaling,"{""Growth & Scaling"": 2, ""Strategy & Planning"": 1, ""Mindset & Resilience"": 1, ""People & Partnerships"": 1, ""Ownership & Entrepreneurship"": 1}",Growth & Scaling,https://synnovatiacom.stage.site/topic/growth-scaling/,slug-wording tie-break
business-growth-small-business-strategy,https://www.synnovatia.com/category/business-growth-small-business-strategy/,6,Growth & Scaling,"{""Growth & Scaling"": 3, ""Sales & Marketing"": 1, ""Strategy & Planning"": 2}",Growth & Scaling,https://synnovatiacom.stage.site/topic/growth-scaling/,slug-wording tie-break
growth-strategies-best-practices,https://www.synnovatia.com/category/growth-strategies-best-practices/,4,Growth & Scaling,"{""People & Partnerships"": 1, ""Growth & Scaling"": 2, ""Sales & Marketing"": 1}",Growth & Scaling,https://synnovatiacom.stage.site/topic/growth-scaling/,slug-wording tie-break
performance-motivation-attitude,https://www.synnovatia.com/category/performance-motivation-attitude/,4,People & Partnerships,"{""People & Partnerships"": 2, ""Mindset & Resilience"": 2}",Mindset & Resilience,https://synnovatiacom.stage.site/topic/mindset-resilience/,slug-wording tie-break
growth-strategies-best-practices-business-planning,https://www.synnovatia.com/category/growth-strategies-best-practices-business-planning/,4,Mindset & Resilience,"{""Mindset & Resilience"": 2, ""People & Partnerships"": 1, ""Growth & Scaling"": 1}",Strategy & Planning,https://synnovatiacom.stage.site/topic/strategy-planning/,slug-wording tie-break
small-business-growth-business-coaching,https://www.synnovatia.com/category/small-business-growth-business-coaching/,3,Growth & Scaling,"{""Growth & Scaling"": 1, ""Mindset & Resilience"": 1, ""Ownership & Entrepreneurship"": 1}",Growth & Scaling,https://synnovatiacom.stage.site/topic/growth-scaling/,slug-wording tie-break
productivity-best-practices-performance,https://www.synnovatia.com/category/productivity-best-practices-performance/,3,Ownership & Entrepreneurship,"{""Ownership & Entrepreneurship"": 1, ""Mindset & Resilience"": 1, ""Strategy & Planning"": 1}",Strategy & Planning,https://synnovatiacom.stage.site/topic/strategy-planning/,slug-wording tie-break
growth-strategies-best-practices-strategic-coaching,https://www.synnovatia.com/category/growth-strategies-best-practices-strategic-coaching/,3,Strategy & Planning,"{""Strategy & Planning"": 1, ""Growth & Scaling"": 1, ""Ownership & Entrepreneurship"": 1}",Growth & Scaling,https://synnovatiacom.stage.site/topic/growth-scaling/,slug-wording tie-break
business-growth-mastermind-group,https://www.synnovatia.com/category/business-growth-mastermind-group/,2,Ownership & Entrepreneurship,"{""Ownership & Entrepreneurship"": 1, ""People & Partnerships"": 1}",People & Partnerships,https://synnovatiacom.stage.site/topic/people-partnerships/,slug-wording tie-break
business-skills-small-business-success-performance,https://www.synnovatia.com/category/business-skills-small-business-success-performance/,2,Strategy & Planning,"{""Strategy & Planning"": 1, ""Mindset & Resilience"": 1}",Strategy & Planning,https://synnovatiacom.stage.site/topic/strategy-planning/,slug-wording tie-break
growth-strategy-time-management-performance,https://www.synnovatia.com/category/growth-strategy-time-management-performance/,2,Strategy & Planning,"{""Strategy & Planning"": 1, ""Mindset & Resilience"": 1}",Strategy & Planning,https://synnovatiacom.stage.site/topic/strategy-planning/,slug-wording tie-break
best-practices-attitude,https://www.synnovatia.com/category/best-practices-attitude/,2,Ownership & Entrepreneurship,"{""Ownership & Entrepreneurship"": 1, ""Mindset & Resilience"": 1}",Mindset & Resilience,https://synnovatiacom.stage.site/topic/mindset-resilience/,slug-wording tie-break
small-business-success-best-practices-success-psychology,https://www.synnovatia.com/category/small-business-success-best-practices-success-psychology/,2,Mindset & Resilience,"{""Mindset & Resilience"": 1, ""Ownership & Entrepreneurship"": 1}",Mindset & Resilience,https://synnovatiacom.stage.site/topic/mindset-resilience/,slug-wording tie-break
