sessions,views,broken_page_path,referrer,pattern,new_url_(fill_in)
8,16,/business-coaching-blog/bid/132741/Are-Flies-Gumming-Up-Your-Business-Growth,,legacy-hubspot-bid-id,
7,13,/business-coaching-blog/entrepreneurship-is-hard-at-first,,legacy-hubspot-slug-only,
6,12,/business-coaching-blog/bid/111622/The-Entrepreneurs-Naughty-and-Nice-List-for-Business-Growth,,legacy-hubspot-bid-id,
6,12,/business-coaching-blog/bid/126137/6-Smart-Business-Reasons-to-Run-a-Competitive-Analysis,,legacy-hubspot-bid-id,
6,12,/business-coaching-blog/bid/85258/Accounting-and-Financial-Growth-Assessment,,legacy-hubspot-bid-id,
5,10,/business-coaching-blog/bid/116670/What-to-Discuss-With-Your-Strategic-Coach,,legacy-hubspot-bid-id,
5,11,/business-coaching-blog/bid/131613/Sound-Off-Should-Entrepreneurs-Work-On-Their-Day-Off,,legacy-hubspot-bid-id,
5,10,/business-coaching-blog/bid/154295/Are-Your-Small-Business-Offerings-in-Need-of-a-Nip-Tuck,,legacy-hubspot-bid-id,
4,8,/business-coaching-blog/bid/116397/Create-Your-Business-Growth-Plan-with-Strategic-Coaching,,legacy-hubspot-bid-id,
4,8,/business-coaching-blog/bid/147944/Small-Business-Performance-Solution-Get-the-Right-Things-Done,,legacy-hubspot-bid-id,
4,7,/business-coaching-blog/bid/156892/10-Ways-to-Create-Opportunities-for-Your-Small-Business,,legacy-hubspot-bid-id,
3,6,/business-coaching-blog/bid/148958/When-Should-You-Hire-A-Lawyer-For-Your-Small-Business-Guest-Blog,,legacy-hubspot-bid-id,
3,6,/business-coaching-blog/bid/150439/Show-Me-the-Money-5-Ways-to-Stop-Underearning-in-Your-Small-Business,,legacy-hubspot-bid-id,
3,6,/business-coaching-blog/bid/150801/6-Steps-to-Small-Business-Revenue-Growth,,legacy-hubspot-bid-id,
3,6,/business-coaching-blog/bid/183435/Maneuvering-the-Jargon-Jungle-of-Small-Business-Marketing,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/106878/Small-Business-Advice-on-Time-Saving-Technology,,legacy-hubspot-bid-id,
2,5,/business-coaching-blog/bid/117172/Small-Business-Ideas-for-Business-Growth-Minnovation,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/117690/Be-Speedy-in-your-Decisions-The-Strategic-Coach-Perspective,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/118774/This-Strategic-Coach-Says-No-and-Means-It,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/119336/What-Entrepreneurs-Benefit-Most-from-Strategic-Business-Coaching,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/122493/A-Strategic-Business-Coach-s-Message-to-the-Accidental-Entrepreneur,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/124782/Five-Smart-Business-Strategies-to-Set-Yourself-Up-for-Success,,legacy-hubspot-bid-id,
2,5,/business-coaching-blog/bid/130584/4-Ways-Entrepreneurs-Sabotage-Their-Networking-Efforts,,legacy-hubspot-bid-id,
2,3,/business-coaching-blog/bid/132601/The-High-Cost-of-Indecision-on-Growing-Your-Business,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/133535/5-Tips-to-Improve-Your-Linkedin-Experience-Grow-Your-Business,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/133775/The-Dirty-Little-Secret-Most-Entrepreneurs-Won-t-Admit,,legacy-hubspot-bid-id,
2,3,/business-coaching-blog/bid/133873/Every-Entrepreneur-Needs-a-Business-Coach,,legacy-hubspot-bid-id,
2,5,/business-coaching-blog/bid/134082/Is-it-Time-to-Rethink-Your-Business-Growth,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/134152/Adding-Fun-to-Your-Follow-Up-Can-Actually-Grow-Your-Business,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/135438/5-Steps-to-Dramatically-Enhance-Your-Small-Business-Growth,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/137234/It-Takes-a-Village-To-Run-a-Successful-Business,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/146882/5-on-Friday-5-Advisers-Every-Small-Business-Needs-to-Grow,,legacy-hubspot-bid-id,
2,5,/business-coaching-blog/bid/147221/5-Simple-Strategies-to-Spark-Small-Business-Performance,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/148488/Is-it-Time-to-Move-Out-of-Your-Inbox,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/151527/Feel-Scattered-Quarterly-Small-Business-Planning-Keeps-You-On-Track,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/154290/Operating-Efficiently-as-a-Small-Business-Entrepreneur,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/154291/Accounting-Growth-for-Small-Business-The-Devil-s-in-the-Details,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/154297/10-Steps-to-Make-Your-Small-Business-Dream-a-Reality,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/155872/10-Ways-Your-Small-Business-Benefits-from-Strategic-Group-Coaching,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/156359/How-Small-Business-Owners-Get-Things-To-Go-As-Planned,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/156677/What-Your-Calendar-Says-About-Your-Priorities-And-the-Probability-of-Achieving-Your-Small-Business-Goals,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/156708/How-to-Ensure-the-Achievement-of-Your-Small-Business-Goals-In-Under-150-Words,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/157290/10-Quick-Tips-to-Improve-Your-Productivity,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/157872/Business-Growth-Beyond-Survival-Why-You-Can-t-Stand-Still,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/183165/Dealing-with-Difficult-Clients-The-Only-Strategy-You-Need,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/185156/So-Much-To-Do-Is-Work-Life-Balance-for-Entrepreneurs-a-Possibility-or-a-Pipe-Dream,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/72451/Grow-Your-Business-From-the-Inside-Out,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/72497/The-Skill-of-Business,,legacy-hubspot-bid-id,
2,3,/business-coaching-blog/bid/72499/Declutter-Your-Task-List,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/72502/Common-Pricing-Mistakes-to-Avoid,,legacy-hubspot-bid-id,
2,2,/business-coaching-blog/bid/72503/How-to-Develop-Products-and-Services-that-Stick,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/72521/Does-Self-Employment-Really-Provide-More-Control,,legacy-hubspot-bid-id,
2,3,/business-coaching-blog/bid/85259/The-Essential-To-Do-List-for-First-Time-Entrepreneurs,,legacy-hubspot-bid-id,
2,4,/business-coaching-blog/bid/87418/Ten-Signs-You-re-an-Overworked-Small-Business-Entrepreneur,,legacy-hubspot-bid-id,
2,5,/business-coaching-blog/bid/90701/Better-Serve-Your-Clients-to-Generate-Referrals,,legacy-hubspot-bid-id,
2,5,/business-coaching-blog/busy-or-productive-why-words-matter-to-entrepreneurs,,legacy-hubspot-slug-only,
2,4,/business-coaching-blog/the-one-thing-holding-back-most-small-businesses,,legacy-hubspot-slug-only,
1,3,/Portals/110120/images/business-success-resized-600.jpg,,legacy-asset-link,
1,2,/Portals/110120/images/overwhelmed_women_business_owner-resized-600.jpg?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR7Kpj3TBO-0YNZ3ynoQM0DMb2EqBkLJVwPIfH7FriY3A0zOBRHYR40OVbhLcA_aem_Goa10hZZxHFNE-bf45EVsw,https://www.facebook.com/,legacy-asset-link,
1,2,/Portals/110120/images/overwhelmed_women_business_owner-resized-600.jpg?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR7xN4dqgBfpM7HNoZK3b20SLdVl1vTkTRQOe5otccZrrlyzhruRWh6TGS9yVQ_aem_erbYTc98vli9klDgzr6Zkw,http://m.facebook.com,legacy-asset-link,
1,1,/business-coaching-bid-154287-are-you-ready-to-push-grow-consider-strategic-business-planning/,,other,
1,2,/business-coaching-blog/bid/105758/Strategic-Alliances-The-Future-of-Small-Business-Growth,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/125542/The-Small-Business-Pricing-Conundrum-Underpricing,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/127339/4-Things-Entrepreneurs-Can-Learn-from-Howard-Stern,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/127523/4-strategies-to-fast-forward-your-small-business-growth?__hsfp=3469989980&__hssc=233546881.2.1505916241529&__hstc=233546881.832d7963aa787f19773ade36ffc53ab2.1500997384180.1505863564566.1505916241529.25,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/127523/NC1TdHJhdG,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/136723/Entrepreneurs-Use-Improv-to-Improve-Business-Skills,,legacy-hubspot-bid-id,
1,1,/business-coaching-blog/bid/141123/7-Topics-Entrepreneurs-Want-to-Learn-About?hs_amp=true,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/144673/Five-on-Friday-5-Business-Ideas-for-Women-to-Rock-Their-Success,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/145509/5-on-Friday-5-Questions-to-Simplify-Your-Small-Business-Blogging,,legacy-hubspot-bid-id,
1,1,/business-coaching-blog/bid/146804/Can-Too-Much-Optimism-Dampen-Your-Business-Growth?__hsfp=3469989980&__hssc=233546881.2.1505916241529&__hstc=233546881.832d7963aa787f19773ade36ffc53ab2.1500997384180.1505863564566.1505916241529.25,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/147879/8-Assumptions-Squashing-Your-Small-Business-Growth?__hsfp=3469989980&__hssc=233546881.8.1505742697125&__hstc=233546881.832d7963aa787f19773ade36ffc53ab2.1500997384180.1505219204842.1505742697125.22,,legacy-hubspot-bid-id,
1,1,/business-coaching-blog/bid/148817/6-Ways-Your-Small-Business-Can-Successfully-Manage-Social-Media,,legacy-hubspot-bid-id,
1,1,/business-coaching-blog/bid/150115/Got-a-Boat-to-Burn-in-Your-Small-Business-I-ve-Got-a-Match,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/154284/Grow-Your-Skill-Grow-Your-Small-Business,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/154288/Five-Steps-to-Building-Financial-Reserves-for-Your-Small-Business,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/156123/Collaboration-The-Emerging-Trend-for-Small-Business-Growth,,legacy-hubspot-bid-id,
1,1,/business-coaching-blog/bid/156972/Do-Small-Business-Owners-Fear-Success-More-Than-You-Would-Imagine,,legacy-hubspot-bid-id,
1,3,/business-coaching-blog/bid/157741/The-Tough-Decisions-You-Need-to-Make-to-Achieve-Double-Digit-Growth,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/157771/Rocks-Pebbles-Sand-How-to-Win-at-Business-Growth,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/185450/Small-Business-Lessons-From-the-Switchbacks-of-Los-Angeles,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/bid/72501/Death-By-a-Thousand-Emails,,legacy-hubspot-bid-id,
1,2,/business-coaching-blog/strike-a-pose-the-super-hero-pose-for-greater-power-in-your-business?__hsfp=495326842&__hssc=233546881.1.1438021891570&__hstc=233546881.74dc092976c74c6794a0bac330340c5e.1428349945193.1437438269224.1438021891570.13,,legacy-hubspot-slug-only,
1,1,/business-coaching-blog/the-evolving-trends-in-strategic-business-coaching-for-small-business,,legacy-hubspot-slug-only,
1,2,/business-coaching-blog/work-life-balance-small-business-owners,,legacy-hubspot-slug-only,
1,2,/can-you-grow-your-business-in-an-uncertain-economy-yes-with-a-business-growth-strategist/(opens in a new tab,,malformed-href-anchor-text,
1,2,/hubfs/bigstock-Money-maker-optimized.jpg,,legacy-asset-link,
1,2,/monthly-coaching,,FIXED-2026-09-13,/work-with-me/
1,2,/strategic-business-consultations,,FIXED-2026-09-13,/strategic-business-consultations/
